"input"	"briefDescription"
"WBGene00004978"	"spg-7 encodes a metalloprotease orthologous to human paraplegin, a nuclear-encoded mitochondrial metalloprotease mutations in which are associated with hereditary spastic paraplegia (spinal cord dysfunction); based upon studies of Saccharomyces cerevisiae SPG7, C. elegans SPG-7 is predicted to function as part of a mt-AAA metalloprotease that regulates proteolytic degradation of mitochondrial proteins and formation of multisubunit mitochondrial protein complexes; loss of spg-7 activity via large-scale RNAi indicates that SPG-7 function is required for embryonic and larval development, reproduction, normal body size and growth rates, and proper subcellular localization of an unc-54::POLYQ(Q35)-YFP transgene; in addition, postdevelopmental inactivation of spg-7 results in significantly increased adult lifespan."
"WBGene00004969"	"spe-15 encodes an unconventional myosin, and is homologous to Drosophila and mouse myosin VI as well as the human gene MYOSIN VI (MYO6; OMIM:600970), which when mutated leads to a disease that affects hearing; spe-15 is required during spermiogenesis or sperm activation for the asymmetric partitioning of organelles like the mitochondria and specialized structures called the fibrous-body membranous organelles into the spermatid; mutant spe-15 spermatids contain actin filaments in contrast to wild-type which lack them."
"WBGene00011273"	"R53.4 encodes a mitochondrial ATP synthase subunit f homolog; R53.4 is predicated to be a member of the F(1)F(0)ATP synthase required for ATP synthesis; R53.4 is also required for expression of antimicrobial peptides in response to infection."
"WBGene00009082"	"dlat-1 is orthologous to the human gene dihydrolipoyllysine acetyltransferase component of the pyruvate dehydrogenase complex, mitochondrial; dlat-1 is involved in embryo development and reproduction; dlat-1 is predicted to have dihydrolipoyllysine-residue acetyltransferase activity, based on protein domain information; dlat-1 is expressed in the pharynx, anal depressor muscle, nervous system, head, tail, reproductive system, intestine, and the body wall musculature."
"WBGene00009051"	"F22D6.4 encodes an NDUFS6/13 kDa subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I); F22D6.4 is required for oxidative phosphorylation and for resistance to volatile anesthetics."
"WBGene00002153"	"iars-2 encodes a predicted mitochondrial isoleucyl-tRNA synthetase (IleRS), a class I aminoacyl-tRNA synthetase that catalyzes the attachment of isoleucine to its cognate tRNA and is thus required for protein biosynthesis; loss of iars-2 activity via RNA-mediated interference (RNAi) in the hypersensitive rrf-3 strain results in thin animals who grow at slower rates than wild type, indicating that IARS-2 plays a role in regulation of postembryonic growth."
"WBGene00002162"	"isp-1 encodes a Rieske iron sulphur protein (ISP) which is a subunit of the mitochondrial complex III in the mitochondrial membrane; the subunits are highly conserved in all mitochondria and aerobic bacteria; mitochondrial complex III catalyses electron transport from ubiquinol to cytochrome c; isp-1 mutants show low oxygen consumption, a decreased sensitivity to reactive oxygen species and increased lifespan suggesting that mitochondrial electron transport is a key factor affecting life span; isp-1 affects the rates of physiological processes like reproduction and development and also affects behavior."
"WBGene00002183"	"kat-1 encodes a predicted 3-ketoacyl-coA thiolase, a conserved enzyme in the mitochondrial fatty acid beta-oxidation pathway; kat-1 acts synergistically with tub-1 and together with the Bardet-Biedl syndrome protein BBS1 ortholog, bbs-1, to regulate lipid accumulation; genetic interaction studies of kat-1 with che-2, osm-5 and daf-6, genes that are required for ciliary structure and intraflagellar transport, indicate that lipid accumulation in C. elegans is dependent on the function of ciliated sensory neurons and their interaction with the environment; kat-1 also acts to delay aging and acts independently of most known longevity pathways but is required for the lifespan extension caused by the overexpression of the protein deacetylase sir-2.1; kat-1 is localized to the mitochondria of intestine and body wall muscle."
"WBGene00018701"	"F52E4.1 is orthologous to the human gene PROPIONYL-CoA CARBOXYLASE, BETA SUBUNIT (PCCB; OMIM:232050), which when mutated leads to propionicacidemia; F52E4.1 protein is predicted to be mitochondrial."
"WBGene00000229"	"atp-2 encodes the beta subunit of the soluble, catalytic F1 portion of ATP synthase (mitochondrial respiratory chain [MRC] complex V); atp-2 activity is required for embryonic and larval development past the L3 stage, as well as for normal mobility, pharyngeal pumping, defecation, growth rate, and larval lifespan; in males, atp-2 activity is also required cell autonomously in male-specific sensory neurons for response to hermaphrodite contact, the first step in a series of stereotypical male mating behaviors; in vitro, the N-terminus of ATP-2 interacts directly with the conserved PLAT domains of human polycystin (PC)-1 and C. elegans LOV-1, which is expressed exclusively in adult male sensory neurons and is also required for the response to hermaphrodite contact; atp-2 is widely expressed throughout development in both sexes; ATP-2 localizes to mitochondria and to cilia of male-specific neurons; in the male-specific CEM neurons ATP-2 colocalizes with PKD-2, the C. elegans homolog of human polycystin (PC)-2."
"WBGene00000230"	"atp-3 encodes the C. elegans homolog of the ATP5O subunit of mitochondrial ATP synthase (complex V); as part of the ATP synthase complex, ATP-3 controls respiration and regulates growth rate and body size, aging, and rates of behaviors such as pharyngeal pumping, defecation, and locomotion; loss of atp-3 function during larval development indicates that respiratory rates established during development persist into adulthood."
"WBGene00000210"	"asg-2 encodes a homolog of subunit G of the membrane-bound F0 proton channel portion of ATP synthase (mitochondrial respiratory chain [MRC] complex V); asg-2 activity is required for growth at a normally high rate and for normal osmoregulation; in addition, asg-2 activity is required for response to hermaphrodite contact, the first step in a series of stereotypical male mating behaviors; an ASG-2::GFP fusion localizes to mitochondria and to cilia of the male-specific CEM neurons."
"WBGene00000206"	"asb-1 encodes the B subunit of the membrane-bound F0 proton channel portion of ATP synthase (mitochondrial respiratory chain [MRC] complex V) that is closely similar to its paralog ASB-2; asb-1 activity is required for embryonic viability and for normal proliferation of germline cells, specifically their progression to meiosis; in addition, asb-1 is required for response to hermaphrodite contact, the first step in a series of stereotypical male mating behaviors; expression of asb-1 mRNA is enriched in the germline and an ASB-1::GFP fusion localizes to mitochondria and to cilia of the male-specific CEM neurons."
"WBGene00000207"	"asb-2 encodes the B subunit of the membrane-bound F0 proton channel portion of ATP synthase (mitochondrial respiratory chain [MRC] complex V) that is closely similar to its paralog ASB-1; RNAi experiments indicate that asb-2 activity is required for larval development as well as for normal body morphology, lifespan, and growth rate."
"WBGene00016442"	"C35D10.5 encodes the C. elegans homolog of vertebrate and budding yeast CBP3, a ubiquinol-cytochrome c reductase complex chaperone; by homology, the product of C35D10.5 is predicted to function as a mitochondrial enzyme-specific chaperone that is required for the assembly of ubiquinol-cytochrome c reductase; loss of C35D10.5 activity via RNAi results in embryos that contain a short pharynx and rounded mouth."
"WBGene00000109"	"alh-3 encodes an aldehyde dehydrogenase predicted to be mitochondrial."
"WBGene00000140"	"anc-1 encodes a protein, orthologous to Drosophila MSP 300 and mammalian SYNE1 and SYNE2 proteins; ANC-1 has coiled regions, a nuclear envelope localization domain (the KASH domain) and an actin-binding domain; ANC-1 affects the positioning of nuclei and mitochondria within the cytoskeleton; ANC-1 is expressed in the cytoplasm, but is localized to the nuclear periphery in an UNC-84 dependent manner."
"WBGene00013049"	"Y50E8A.6 encodes a putative mitochondrial glycerol-3-phosphate dehydrogenase, paralogous to T25G3.4 and orthologous to human GPD2 (OMIM:138430, mutated in type II diabetes mellitus); Y50E8A.6 has no obvious function in mass RNAi assays."
"WBGene00000181"	"ard-1 encodes a homolog of mammalian 3-hydroxyacyl-CoA dehydrogenase (HADH II)/amyloid-beta binding alcohol dehydrogenase (ABAD) that is predicted to be mitochondrial."
"WBGene00016392"	"sdha-2 encodes one of two C. elegans flavoprotein subunits of the mitochondrial succinate dehydrogenase complex (Complex II)."
"WBGene00016391"	"C34B2.6 encodes a homolog of the Lon mitochondrial protease; loss of C34B2.6 activity results in impaired proteolysis of the ATFS-1 bZip transcription factor that partitions between the mitochondria and the nucleus and functions as part of the mitochondrial unfolded protein response (UPRmt)."
"WBGene00013094"	"Y51H1A.3 encodes the C. elegans ortholog of NDUFB8, an accessory subunit of the mitochondrial respiratory chain NADH:ubiquinone oxidoreductase (Complex I); large-scale RNAi screens indicate that Y51H1A.3 activity is required for embryonic and larval development, normal brood size, and molting."
"WBGene00013373"	"Y62E10A.2 encodes an ortholog of Pop7 (Rpp20), a protein subunit shared by the endoribonucleases RNase MRP and RNAse P; RNAse MRP cleaves mitochondrial RNA in mitochondrial DNA synthesis, nucleolar pre-rRNA in ribosome synthesis, and at least one mRNA (CLB2) involved in cell-cycle regulation; RNAse P cleaves tRNA precursors to produce their mature 5' end; Y62E10A.2 may dissociate from the RNase MRP complex when it binds to ribosomal precursors."
"WBGene00009440"	"F35G12.2 encodes the C. elegans ortholog of mitochondrial NAD+-isocitrate dehydrogenase."
"WBGene00016266"	"C30F12.7 encodes the C. elegans homolog of the gamma subunit of an NAD+-dependent mitochondrial isocitrate dehydrogenase; by homology, the product of C30F12.7 is predicted to catalyze the formation of alpha-ketoglutarate from isocitrate as part of the citric acid cycle."
"WBGene00013258"	"polg-1 encodes the C. elegans ortholog of human mitochondrial DNA polymerase gamma (POLG; OMIM:174763); polg-1 is required for normal levels of mitochondrial DNA during development, particularly during germ line development in late larval and adult stages;  polg-1 is also required for normal brood sizes and adult lifespan."
"WBGene00009557"	"mtcu-1 encodes a GTPase orthologous to yeast Mss1p; by homology, nuclear-encoded MTCU-1 is predicted to function together in a complex with MTCU-2 to catalyze the 5-carboxymethylaminomethyl modification of the wobble uridine in mitochondrial tRNAs and thus, promote mitochondrial protein synthesis and respiratory function."
"WBGene00016124"	"dnc-4 encodes the C. elegans ortholog of the dynactin p62/DNTN4 subunit; dnc-4 is an essential gene required for embryonic development and pronuclear migration; dnc-4 is also required for normal mitochondrial morphology; DNC-4 is part of the multisubunit dynactin complex in vivo."
"WBGene00016118"	"C25H3.9 encodes the C. elegans ortholog of the NDUFB5/SGDH subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I)."
"WBGene00013591"	"gcn-2 encodes the C. elegans homolog of the eIF2alpha kinase; GCN-2 is required for regulation of translation and specifically, for regulation of translation in response to mitochondrial dysfunction; in regulating mitochondrial protein homeostasis, GCN-2 functions in parallel to the ATFS-1 bZip transcription factor."
"WBGene00009176"	"F26H9.4 encodes a nicotinamide mononucleotide adenylyl transferase; by homology, F26H9.4 is predicted to function in energy metabolism by catalyzing the formation of NAD from nicotinamide mononucleotide and AMP or the formation of NaNAD from nicotinic acid adenine dinucleotide and AMP; in C. elegans, F26H9.4 expression is enriched in the germline; F26H9.4 is most closely related to the mammalian Nmnat3 proteins which localize to mitochondria."
"WBGene00009246"	"gfm-1 encodes the C. elegans ortholog of mitochondrial translation elongation factor G1 (EFG1), a GTP-binding protein essential for the elongation phase of protein synthesis; loss of gfm-1 activity via RNAi in wild-type and various mutant backgrounds results primarily in embryonic lethality with additional defects seen in reproduction, growth rate, larval development, body morphology, and endocytic trafficking."
"WBGene00009221"	"acs-2 encodes an acyl-CoA synthetase; by homology, ACS-2 is predicted to catalyze conversion of a fatty acid to Acyl-CoA for subsequent beta oxidation; accordingly, loss of acs-2 activity via RNAi results in defects in fat metabolism; an ACS-2::GFP reporter fusion protein is widely expressed and appears to localize to mitochondria; acs-2 expression is positively regulated by the NHR-49 nuclear hormone receptor."
"WBGene00013406"	"Y63D3A.7 encodes the C. elegans ortholog of the NDUFA2/B8 subunit of the mitochondrial NADH dehydrogenase (ubiquinone) complex (complex I)."
"WBGene00013422"	"Y66A7A.2 encodes an ortholog of Pop5, a protein subunit shared by the endoribonucleases RNase MRP and RNAse P; RNAse MRP cleaves mitochondrial RNA in mitochondrial DNA synthesis, nucleolar pre-rRNA in ribosome synthesis, and at least one mRNA (CLB2) involved in cell-cycle regulation; RNAse P cleaves tRNA precursors to produce their mature 5' end; Y66A7A.2 is evolutionarily ubiquitous among eukaryotes."
